2020-05-07 22:46:17 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2020-05-07 22:46:19 INFO  SparkContext:54 - Running Spark version 2.3.2
2020-05-07 22:46:19 INFO  SparkContext:54 - Submitted application: song_converter
2020-05-07 22:46:19 INFO  SecurityManager:54 - Changing view acls to: hadoop
2020-05-07 22:46:19 INFO  SecurityManager:54 - Changing modify acls to: hadoop
2020-05-07 22:46:19 INFO  SecurityManager:54 - Changing view acls groups to: 
2020-05-07 22:46:19 INFO  SecurityManager:54 - Changing modify acls groups to: 
2020-05-07 22:46:19 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(hadoop); groups with view permissions: Set(); users  with modify permissions: Set(hadoop); groups with modify permissions: Set()
2020-05-07 22:46:20 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 42257.
2020-05-07 22:46:20 INFO  SparkEnv:54 - Registering MapOutputTracker
2020-05-07 22:46:20 INFO  SparkEnv:54 - Registering BlockManagerMaster
2020-05-07 22:46:20 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2020-05-07 22:46:20 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2020-05-07 22:46:20 INFO  DiskBlockManager:54 - Created local directory at /mnt/tmp/blockmgr-f1f41dfa-92b1-4d21-81de-7266b71fdd9d
2020-05-07 22:46:20 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2020-05-07 22:46:20 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2020-05-07 22:46:20 INFO  log:192 - Logging initialized @5016ms
2020-05-07 22:46:21 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2020-05-07 22:46:21 INFO  Server:419 - Started @5300ms
2020-05-07 22:46:21 INFO  AbstractConnector:278 - Started ServerConnector@69e94b9f{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2020-05-07 22:46:21 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@712f7c4e{/jobs,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5d625de1{/jobs/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@104a8041{/jobs/job,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@604f4054{/jobs/job/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2f8d94e9{/stages,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6b0151d1{/stages/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@15199c62{/stages/stage,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2d498b25{/stages/stage/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@74eaf862{/stages/pool,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@a412801{/stages/pool/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@78b1b76c{/storage,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@19c00bfc{/storage/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3acac94e{/storage/rdd,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3948ef36{/storage/rdd/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4cb725a4{/environment,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@55315825{/environment/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@39dd6b74{/executors,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@47120226{/executors/json,null,AVAILABLE,@Spark}
2020-05-07 22:46:21 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@327d8565{/executors/threadDump,null,AVAILABLE,@Spark}
